epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.583672,1.08308,2.73825,1.47317,0.56628,0.85,0.8784,0.63411,1.65248,1.03208,1.38065,0,0,0
2,1.01755,1.18707,2.79898,1.48917,0.55805,0.85,0.88647,0.63455,1.67231,1.02543,1.38415,1.17822e-06,1.17822e-06,1.17822e-06
3,1.41255,1.09884,2.50841,1.22077,0.5606,0.85,0.85075,0.61542,1.68266,1.01239,1.38692,2.33288e-06,2.33288e-06,2.33288e-06
4,1.76141,1.18919,2.75125,1.49887,0.5455,0.85,0.85608,0.63651,1.66975,0.99129,1.36852,3.46397e-06,3.46397e-06,3.46397e-06
5,2.14985,1.20656,2.44758,1.61846,0.5495,0.85,0.85777,0.63727,1.66938,1.01173,1.36582,4.5715e-06,4.5715e-06,4.5715e-06
6,2.56976,0.83223,1.9247,1.14526,0.54332,0.85891,0.85724,0.62801,1.6838,1.01246,1.37303,5.65548e-06,5.65548e-06,5.65548e-06
7,3.00043,1.40412,2.77422,1.77082,0.53306,0.86248,0.85848,0.6286,1.67613,1.01977,1.37214,6.71588e-06,6.71588e-06,6.71588e-06
8,3.42546,1.19274,3.85386,1.65701,0.56401,0.86667,0.86366,0.63222,1.68301,1.02454,1.36722,7.75273e-06,7.75273e-06,7.75273e-06
9,3.83696,0.89846,2.95626,1.27551,0.55351,0.86667,0.85988,0.62969,1.67145,1.02709,1.36219,8.76602e-06,8.76602e-06,8.76602e-06
10,4.2537,1.04287,2.17936,1.27212,0.52888,0.86667,0.89475,0.64251,1.67288,1.03345,1.36113,9.75574e-06,9.75574e-06,9.75574e-06
11,4.67948,1.1909,2.27145,1.56956,0.63022,0.94488,0.90931,0.64353,1.67099,1.03773,1.35914,1.07219e-05,1.07219e-05,1.07219e-05
12,5.09994,1.00619,2.28059,1.3776,0.64063,0.94533,0.90847,0.64453,1.67751,1.04496,1.36168,1.16645e-05,1.16645e-05,1.16645e-05
13,5.52585,1.36553,3.24234,1.80471,0.62572,0.95,0.90847,0.64676,1.6845,1.05468,1.36463,1.25835e-05,1.25835e-05,1.25835e-05
14,5.9897,0.78105,2.38567,1.20105,0.62974,0.95,0.90861,0.64676,1.68807,1.06426,1.36497,1.3479e-05,1.3479e-05,1.3479e-05
15,6.4349,1.2844,3.0471,1.53118,0.63589,0.78333,0.91011,0.65132,1.68363,1.07645,1.36331,1.43509e-05,1.43509e-05,1.43509e-05
16,6.86385,1.20633,2.07232,1.51051,0.63927,0.78333,0.90992,0.64995,1.66749,1.07641,1.35693,1.51993e-05,1.51993e-05,1.51993e-05
17,7.27216,0.8021,1.54975,1.16813,0.6474,0.78333,0.90999,0.62847,1.66742,1.0895,1.35874,1.60241e-05,1.60241e-05,1.60241e-05
18,7.68362,0.61877,1.31211,0.99078,0.6474,0.78333,0.90999,0.62847,1.66742,1.0895,1.35874,1.68253e-05,1.68253e-05,1.68253e-05
19,8.09635,0.69272,1.54974,1.03253,0.83787,0.65,0.86827,0.62117,1.68284,1.13162,1.37187,1.7603e-05,1.7603e-05,1.7603e-05
